ANO_ELEICAO,NM_UE,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,DS_SITUACAO_CANDIDATURA,TP_AGREMIACAO,SG_PARTIDO,NM_PARTIDO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,DS_OCUPACAO,DS_SIT_TOT_TURNO,ANO_NASCIMENTO,IDADE
2016,SALVADOR,VEREADOR,23333,TÂMARA LUCIENNE BATALHA DE MATOS GOUVEIA,PROFESSORA TÂMARA BATALHA,#NULO#,APTO,COLIGAÇÃO,PPS,PARTIDO POPULAR SOCIALISTA,#NULO#,#NULO#,#NULO#,50000001645,Decência e Trabalho,PTB / PPS,BA,1959-06-20,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,DIRETOR DE ESTABELECIMENTO DE ENSINO,SUPLENTE,1959,57
2016,SALVADOR,VEREADOR,23025,LUIS EDUARDO ANDRADE DA SILVA,EDUARDO ANDRADE,#NULO#,APTO,COLIGAÇÃO,PPS,PARTIDO POPULAR SOCIALISTA,#NULO#,#NULO#,#NULO#,50000001645,Decência e Trabalho,PTB / PPS,BA,1978-03-18,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,PROFESSOR DE ENSINO SUPERIOR,SUPLENTE,1978,38
2016,SALVADOR,VEREADOR,44555,EVANIA OLIVEIRA DOS SANTOS,VANIA,#NULO#,APTO,COLIGAÇÃO,PRP,PARTIDO REPUBLICANO PROGRESSISTA,#NULO#,#NULO#,#NULO#,50000001733,JUNTOS POR SALVADOR,PRP / PMN,BA,1975-07-18,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,EMPREGADO DOMÉSTICO,NÃO ELEITO,1975,41
2016,SALVADOR,VEREADOR,20500,DANIEL PAIM DE MACEDO,DR. PAIM,#NULO#,APTO,PARTIDO ISOLADO,PSC,PARTIDO SOCIAL CRISTÃO,#NULO#,#NULO#,#NULO#,50000001047,PARTIDO ISOLADO,PSC,BA,1983-11-29,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,SUPLENTE,1983,33
2016,SALVADOR,VEREADOR,35777,PAULO ROBERTO CERQUEIRA SOUZA,PAULO CERQUEIRA,#NULO#,APTO,COLIGAÇÃO,PMB,PARTIDO DA MULHER BRASILEIRA,#NULO#,#NULO#,#NULO#,50000000986,AMOR POR SALVADOR,DEM / PRB / PMB,BA,1971-12-14,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,AGENTE DE SAÚDE E SANITARISTA,SUPLENTE,1971,45
2016,SALVADOR,VEREADOR,10188,EDILZA DOS SANTOS SOUZA,EDILZA,#NULO#,APTO,COLIGAÇÃO,PRB,PARTIDO REPUBLICANO BRASILEIRO,#NULO#,#NULO#,#NULO#,50000000986,AMOR POR SALVADOR,DEM / PRB / PMB,BA,1977-08-18,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,ADVOGADO,SUPLENTE,1977,39
2016,SALVADOR,VEREADOR,65678,RUI OLIVEIRA,PROFESSOR RUI,#NULO#,APTO,COLIGAÇÃO,PC do B,PARTIDO COMUNISTA DO BRASIL,#NULO#,#NULO#,#NULO#,50000002073,"AVANÇA, SALVADOR!",PC do B / PSD / PT,BA,1952-07-06,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,PROFESSOR DE ENSINO MÉDIO,SUPLENTE,1952,64
2016,SALVADOR,VEREADOR,11113,CLOVIS DOS SANTOS SOUZA,NEGO BOI,#NULO#,APTO,COLIGAÇÃO,PP,PARTIDO PROGRESSISTA,#NULO#,#NULO#,#NULO#,50000001063,SALVADOR MERECE MAIS,PR / PP,BA,1957-05-13,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,"CARPINTEIRO, MARCENEIRO E ASSEMELHADOS",NÃO ELEITO,1957,59
2016,SALVADOR,PREFEITO,65,ALICE MAZZUCO PORTUGAL,ALICE PORTUGAL,#NULO#,APTO,COLIGAÇÃO,PC do B,PARTIDO COMUNISTA DO BRASIL,#NULO#,#NULO#,#NULO#,50000001050,SIM PARA SALVADOR!,PC do B / PT / PSD / PTN / PSB,BA,1959-05-16,FEMININO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,FARMACÊUTICO,NÃO ELEITO,1959,57
2016,SALVADOR,VEREADOR,13500,JOSE LUIZ PAIVA DE CARVALHO,LUCÃO,#NULO#,APTO,COLIGAÇÃO,PT,PARTIDO DOS TRABALHADORES,#NULO#,#NULO#,#NULO#,50000002073,"AVANÇA, SALVADOR!",PC do B / PSD / PT,BA,1962-05-15,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,OUTROS,SUPLENTE,1962,54
2016,SALVADOR,VEREADOR,77124,WALTER JOSE BARBALHO SANTIAGO,DION SANTIAGO,#NULO#,APTO,COLIGAÇÃO,SD,SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000001055,SALVADOR SOLIDÁRIO E SUSTENTÁVEL,SD / PV,BA,1961-11-11,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,DECORADOR,SUPLENTE,1961,55
2016,SALVADOR,VEREADOR,55456,HUMBERTO SILVA BATISTA CANÁRIO,CANÁRIO,#NULO#,APTO,COLIGAÇÃO,PSD,PARTIDO SOCIAL DEMOCRÁTICO,#NULO#,#NULO#,#NULO#,50000002073,"AVANÇA, SALVADOR!",PC do B / PSD / PT,BA,1967-11-03,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,ADMINISTRADOR,SUPLENTE,1967,49
2016,SALVADOR,VEREADOR,22190,ELIEZIA GOMES MARQUES BORGES,ELIEZIA MARQUES,#NULO#,APTO,COLIGAÇÃO,PR,PARTIDO DA REPÚBLICA,#NULO#,#NULO#,#NULO#,50000001063,SALVADOR MERECE MAIS,PR / PP,BA,1970-02-07,FEMININO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PRETA,OUTROS,NÃO ELEITO,1970,46
2016,SALVADOR,VEREADOR,31634,BROGLIO ROSARIO GOMES,BROGLIO GOMES,#NULO#,APTO,COLIGAÇÃO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1967-02-03,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,TAXISTA,SUPLENTE,1967,49
2016,SALVADOR,VEREADOR,36123,ALEXSANDRO BRITO PIMENTEL,ALEX PIMENTEL,#NULO#,APTO,PARTIDO ISOLADO,PTC,PARTIDO TRABALHISTA CRISTÃO,#NULO#,#NULO#,#NULO#,50000001834,PARTIDO ISOLADO,PTC,BA,1974-07-03,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,NÃO ELEITO,1974,42
2016,SALVADOR,VEREADOR,20220,MARÍLIA DA SILVA TORRES,MARÍLIA TORRES,#NULO#,APTO,PARTIDO ISOLADO,PSC,PARTIDO SOCIAL CRISTÃO,#NULO#,#NULO#,#NULO#,50000001047,PARTIDO ISOLADO,PSC,BA,1978-10-09,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,SERVIDOR PÚBLICO MUNICIPAL,SUPLENTE,1978,38
2016,SALVADOR,VEREADOR,40765,SINVAL LAZARO DOS SANTOS,IRMÃO SINVAL,#NULO#,APTO,PARTIDO ISOLADO,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO#,#NULO#,#NULO#,50000001767,PARTIDO ISOLADO,PSB,BA,1961-07-23,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR",SUPLENTE,1961,55
2016,SALVADOR,VEREADOR,25500,SAULO WANDERSON BARROS CALMON DE OLIVEIRA,SAULO CALMON,#NULO#,APTO,COLIGAÇÃO,DEM,DEMOCRATAS,#NULO#,#NULO#,#NULO#,50000000986,AMOR POR SALVADOR,DEM / PRB / PMB,BA,1983-09-07,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,CANTOR E COMPOSITOR,SUPLENTE,1983,33
2016,SALVADOR,VEREADOR,15161,PATRICIA LAZARA SOUZA DOS SANTOS,PATRICIA LÁZARA,#NULO#,APTO,COLIGAÇÃO,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NULO#,#NULO#,#NULO#,50000000869,SALVADOR NO CAMINHO CERTO,PMDB / PSDC,BA,1976-10-16,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",SUPLENTE,1976,40
2016,SALVADOR,VEREADOR,36208,IRACEMA SILVA PIRES,IRACEMA PIRES,#NULO#,APTO,PARTIDO ISOLADO,PTC,PARTIDO TRABALHISTA CRISTÃO,#NULO#,#NULO#,#NULO#,50000001834,PARTIDO ISOLADO,PTC,BA,1981-07-01,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,AGENTE DE SAÚDE E SANITARISTA,NÃO ELEITO,1981,35
2016,SALVADOR,VEREADOR,43567,ELISABETE PEREIRA MENDONÇA,TIA BETE,#NULO#,APTO,COLIGAÇÃO,PV,PARTIDO VERDE,#NULO#,#NULO#,#NULO#,50000001055,SALVADOR SOLIDÁRIO E SUSTENTÁVEL,SD / PV,BA,1971-08-31,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),PRETA,PROFESSOR DE ENSINO FUNDAMENTAL,SUPLENTE,1971,45
2016,SALVADOR,VEREADOR,31200,WASHINGTON LUIZ DA SILVA LIMA,BOMBINHA,#NULO#,APTO,COLIGAÇÃO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1981-09-07,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,SUPLENTE,1981,35
2016,SALVADOR,VEREADOR,50350,JOSÉ INÁCIO RAMOS JÚNIOR,JOSE INÁCIO,#NULO#,APTO,COLIGAÇÃO,PSOL,PARTIDO SOCIALISMO E LIBERDADE,#NULO#,#NULO#,#NULO#,50000001670,AGORA É COM A GENTE,PSOL / REDE,BA,1959-08-19,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,OUTROS,SUPLENTE,1959,57
2016,SALVADOR,VEREADOR,20211,CARLOS ROBERTO QUEIROZ DE MELO,CARLOS QUEIROZ,#NULO#,APTO,PARTIDO ISOLADO,PSC,PARTIDO SOCIAL CRISTÃO,#NULO#,#NULO#,#NULO#,50000001047,PARTIDO ISOLADO,PSC,BA,1963-03-25,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,SUPLENTE,1963,53
2016,SALVADOR,VEREADOR,44111,GUTEMBERG LOPES DOS SANTOS,GRINGO,#NULO#,APTO,COLIGAÇÃO,PRP,PARTIDO REPUBLICANO PROGRESSISTA,#NULO#,#NULO#,#NULO#,50000001733,JUNTOS POR SALVADOR,PRP / PMN,BA,1969-06-05,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,NÃO ELEITO,1969,47
2016,SALVADOR,VEREADOR,22022,JORGE LUIS DE ALMEIDA DOS SANTOS,JORGE ALMEIDA,#NULO#,APTO,COLIGAÇÃO,PR,PARTIDO DA REPÚBLICA,#NULO#,#NULO#,#NULO#,50000001063,SALVADOR MERECE MAIS,PR / PP,BA,1974-06-30,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,NÃO ELEITO,1974,42
2016,SALVADOR,VEREADOR,45003,ROZENILDA RAMOS DOS SANTOS,ROSE GUERREIRA,#NULO#,APTO,PARTIDO ISOLADO,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,#NULO#,#NULO#,#NULO#,50000000340,PARTIDO ISOLADO,PSDB,BA,1952-09-22,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,DONA DE CASA,SUPLENTE,1952,64
2016,SALVADOR,VEREADOR,77770,SANDRO LUIZ RAMOS BAHIENSE,SANDRO BAHIENSE,#NULO#,APTO,COLIGAÇÃO,SD,SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000001055,SALVADOR SOLIDÁRIO E SUSTENTÁVEL,SD / PV,BA,1972-01-13,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,SUPLENTE,1972,44
2016,SALVADOR,VEREADOR,15552,VALDELICIO DE JESUS SOUZA,VALDELICIO,#NULO#,APTO,COLIGAÇÃO,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NULO#,#NULO#,#NULO#,50000000869,SALVADOR NO CAMINHO CERTO,PMDB / PSDC,BA,1952-09-22,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,COMERCIANTE,SUPLENTE,1952,64
2016,SALVADOR,VEREADOR,20700,LORENA BRANDÃO PORTELLA,LORENA BRANDÃO,#NULO#,APTO,PARTIDO ISOLADO,PSC,PARTIDO SOCIAL CRISTÃO,#NULO#,#NULO#,#NULO#,50000001047,PARTIDO ISOLADO,PSC,BA,1973-07-25,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO SUPERIOR,ELEITO POR QP,1973,43
2016,SALVADOR,VEREADOR,54666,IRALDO PINHEIRO DOS SANTOS,IRALDO PINHEIRO,#NULO#,APTO,PARTIDO ISOLADO,PPL,PARTIDO PÁTRIA LIVRE,#NULO#,#NULO#,#NULO#,50000002526,PARTIDO ISOLADO,PPL,BA,1957-12-10,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,POLICIAL CIVIL,NÃO ELEITO,1957,59
2016,SALVADOR,VEREADOR,36000,JOSE CARLOS BRITO DUARTE,MESTRE ZÉ CARLOS,#NULO#,APTO,PARTIDO ISOLADO,PTC,PARTIDO TRABALHISTA CRISTÃO,#NULO#,#NULO#,#NULO#,50000001834,PARTIDO ISOLADO,PTC,BA,1974-02-21,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,EMPRESÁRIO,NÃO ELEITO,1974,42
2016,SALVADOR,VEREADOR,40345,MAGNALVA DE JESUS OLIVEIRA,MAGNALVA,#NULO#,APTO,PARTIDO ISOLADO,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NULO#,#NULO#,#NULO#,50000001767,PARTIDO ISOLADO,PSB,BA,1978-09-19,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,OUTROS,SUPLENTE,1978,38
2016,SALVADOR,VEREADOR,55555,MATEUS ARAUJO RIBEIRO DIAS,MATEUS DIAS,#NULO#,APTO,COLIGAÇÃO,PSD,PARTIDO SOCIAL DEMOCRÁTICO,#NULO#,#NULO#,#NULO#,50000002073,"AVANÇA, SALVADOR!",PC do B / PSD / PT,BA,1981-09-26,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,ODONTÓLOGO,SUPLENTE,1981,35
2016,SALVADOR,VEREADOR,31130,ELIAQUIM PINHEIRO DA COSTA,SOLDADO PINHEIRO,#NULO#,APTO,COLIGAÇÃO,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,#NULO#,#NULO#,#NULO#,50000002074,PRA FRENTE SALVADOR,PHS / PT do B,BA,1966-02-21,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,POLICIAL MILITAR,SUPLENTE,1966,50
2016,SALVADOR,VEREADOR,44091,JOSE CARLOS DA PAIXÃO RIBEIRO,ZE RIBEIRO,#NULO#,APTO,COLIGAÇÃO,PRP,PARTIDO REPUBLICANO PROGRESSISTA,#NULO#,#NULO#,#NULO#,50000001733,JUNTOS POR SALVADOR,PRP / PMN,BA,1973-08-28,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PRETA,OUTROS,NÃO ELEITO,1973,43
